"","ligand","receptor"
"285","Calm1","Fas"
"286","Calm1","Glp1r"
"287","Calm1","Glp2r"
"288","Calm1","Gp6"
"289","Calm1","Grm3"
"290","Calm1","Grm4"
"291","Calm1","Grm5"
"292","Calm1","Grm7"
"293","Calm1","Hmmr"
"294","Calm1","Htr2c"
"295","Calm1","Insr"
"296","Calm1","Kcnn4"
"297","Calm1","Kcnq1"
"298","Calm1","Kcnq3"
"299","Calm1","Kcnq5"
"300","Calm1","Mip"
"301","Calm1","Mylk"
"302","Calm1","Mylk2"
"303","Calm1","Oprm1"
"304","Calm1","Pde1a"
"305","Calm1","Pde1b"
"306","Calm1","Pde1c"
"307","Calm1","Ppapdc2"
"308","Calm1","Pth2r"
"309","Calm1","Ptpra"
"310","Calm1","Scn10a"
"311","Calm1","Scn4a"
"312","Calm1","Sctr"
"313","Calm1","Sell"
"314","Calm1","Trpc3"
"315","Calm1","Trpc5"
"316","Calm1","Vipr1"
"317","Calm2","Abca1"
"318","Calm2","Adcy8"
"319","Calm2","Aqp6"
"320","Calm2","Cacna1c"
"321","Calm2","Egfr"
"322","Calm2","Gp6"
"323","Calm2","Grm5"
"324","Calm2","Grm7"
"325","Calm2","Insr"
"326","Calm2","Kcnq1"
"327","Calm2","Kcnq3"
"328","Calm2","Kcnq5"
"329","Calm2","Mylk"
"330","Calm2","Mylk2"
"331","Calm2","Pde1a"
"332","Calm2","Pde1b"
"333","Calm2","Pde1c"
"334","Calm2","Ppapdc2"
"335","Calm2","Scn10a"
"336","Calm2","Scn4a"
"337","Calm2","Sell"
"338","Calm2","Trpc5"
"339","Calm3","Abca1"
"340","Calm3","Adcy8"
"341","Calm3","Aqp6"
"342","Calm3","Egfr"
"343","Calm3","Gp6"
"344","Calm3","Grm5"
"345","Calm3","Grm7"
"346","Calm3","Insr"
"347","Calm3","Kcnq1"
"348","Calm3","Kcnq3"
"349","Calm3","Kcnq5"
"350","Calm3","Mylk"
"351","Calm3","Mylk2"
"352","Calm3","Pde1a"
"353","Calm3","Pde1b"
"354","Calm3","Pde1c"
"355","Calm3","Ppapdc2"
"356","Calm3","Scn10a"
"357","Calm3","Scn4a"
"358","Calm3","Sell"
"359","Calm3","Trpc5"
"360","Calr","Hla-f"
"361","Calr","Itga2b"
"362","Calr","Itga3"
"363","Calr","Itgav"
"364","Calr","Lrp1"
"365","Calr","Mtnr1a"
"366","Calr","Scarf1"
"367","Calr","Tshr"
"368","Camp","Egfr"
"369","Camp","Fpr2"
"370","Camp","Igf1r"
"371","Camp","P2rx7"
"372","Cck","Cckar"
"373","Cck","Cckbr"
"374","Ccl11","Ackr2"
"375","Ccl11","Ackr4"
